level_i;n_i;s_i
0;47864;36951.75000000
1;153859;85226.87500000
2;145577;85283.87500000
3;127904;75733.25000000
4;136451;66144.00000000
5;152509;58543.00000000
6;190447;55590.12500000
7;207778;52404.00000000
8;127261;31769.62500000
9;49991;17330.00000000
10;17044;11377.75000000
11;15006;6466.25000000
12;2093;2742.25000000
13;322;559.25000000
14;0;0.00000000
15;0;0.00000000
