level_i;n_i;s_i
0;95708;82010.12500000
1;100331;79990.12500000
2;99809;83027.50000000
3;95591;84090.75000000
4;78660;67319.25000000
5;90611;66541.00000000
6;84234;57734.75000000
7;115165;60486.12500000
8;120464;52703.00000000
9;132819;50025.00000000
10;143976;56708.12500000
11;85347;34492.37500000
12;63911;23825.00000000
13;31560;17354.12500000
14;10664;11846.87500000
15;25256;16860.25000000
