level_i;n_i;s_i
0;2150062;155772.12500000
1;379450;181672.37500000
2;73959;82200.62500000
3;81084;97004.62500000
4;97660;104515.25000000
5;121854;109849.37500000
6;151869;111383.37500000
7;182593;109387.50000000
8;186821;98302.00000000
9;164972;78640.00000000
10;167809;69067.12500000
11;228851;88128.00000000
12;613295;169815.87500000
13;1406424;322641.87500000
14;3926805;563207.62500000
15;2052496;520115.50000000
