level_i;n_i;s_i
0;1289041;253486.62500000
1;1229052;289137.87500000
2;99988;87640.37500000
3;112833;100250.12500000
4;151031;111714.25000000
5;202098;115209.50000000
6;251279;112272.25000000
7;227566;92783.50000000
8;225946;75665.75000000
9;400191;113073.87500000
10;1356855;251570.12500000
11;4811788;516951.00000000
12;1581171;403102.75000000
13;44491;58275.62500000
14;2671;5272.50000000
15;3;8.62500000
