level_i;n_i;s_i
0;405745;42311.62500000
1;166465;29927.00000000
2;60172;22524.00000000
3;21044;13436.62500000
4;16487;13964.50000000
5;11139;10669.25000000
6;9699;8976.50000000
7;5655;5507.87500000
8;4026;5040.50000000
9;2540;3433.62500000
10;1561;2082.25000000
11;1684;2200.75000000
12;1426;1896.00000000
13;1441;1901.00000000
14;1146;1309.25000000
15;8356;4431.00000000
